"Timestamp","Target","Status","Message"
"2026-02-24 23:38:54","192.168.0.103","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:38:57","192.168.0.104","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:39:00","192.168.0.105","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:39:03","192.168.0.106","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:39:06","192.168.0.107","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:39:09","192.168.0.108","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:39:12","192.168.0.109","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:39:15","192.168.0.110","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:39:18","192.168.0.111","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:39:21","192.168.0.112","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:39:24","192.168.0.113","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:39:27","192.168.0.115","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:39:30","192.168.0.116","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:39:33","192.168.0.117","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:39:36","192.168.0.118","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:39:39","192.168.0.119","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:39:42","192.168.0.120","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:39:45","192.168.0.121","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:39:48","192.168.0.122","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:39:51","192.168.0.123","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:39:54","192.168.0.124","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:39:57","192.168.0.125","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:40:00","192.168.0.126","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:40:03","192.168.0.127","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:40:06","192.168.0.128","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:40:09","192.168.0.129","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:40:12","192.168.0.130","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:40:15","192.168.0.131","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:40:18","192.168.0.132","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:40:21","192.168.0.133","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:40:24","192.168.0.134","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:40:27","192.168.0.135","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:40:30","192.168.0.136","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:40:33","192.168.0.137","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:40:36","192.168.0.138","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:40:39","192.168.0.139","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:40:42","192.168.0.140","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:40:45","192.168.0.141","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:40:48","192.168.0.142","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:40:51","192.168.0.143","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:40:54","192.168.0.144","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:40:57","192.168.0.145","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:41:00","192.168.0.146","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:41:03","192.168.0.147","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:41:06","192.168.0.148","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:41:09","192.168.0.149","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:41:12","192.168.0.150","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:41:15","192.168.0.151","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:41:18","192.168.0.152","WARNING","Skipped (Offline/Unreachable)"
"2026-02-24 23:41:21","192.168.0.153","WARNING","Skipped (Offline/Unreachable)"
